"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.002061250E0,3.759021759E0,2.347410965E1,-4.867446899E1,5.416980709E1
2.012102250E0,3.829296112E0,2.325264740E1,-4.845819855E1,5.388456297E1
2.022143250E0,3.955631256E0,2.339183426E1,-4.875376892E1,5.421950675E1
2.032184250E0,4.035533905E0,2.328713989E1,-4.842596436E1,5.388553092E1
2.042226250E0,3.982311249E0,2.331659317E1,-4.877812195E1,5.421095370E1
2.052267250E0,4.005355835E0,2.315065765E1,-4.879029846E1,5.415246116E1
2.062308250E0,4.027233124E0,2.326373291E1,-4.873430634E1,5.415212359E1
2.072349250E0,4.065200806E0,2.325213242E1,-4.913161469E1,5.450782587E1
2.082390250E0,4.057342529E0,2.327518082E1,-4.887487793E1,5.428581549E1
2.092432250E0,4.164539337E0,2.312589264E1,-4.926794434E1,5.458461905E1
2.102473250E0,4.348491669E0,2.326031113E1,-4.899700165E1,5.441192538E1
2.112514250E0,4.240459442E0,2.330223465E1,-4.921279907E1,5.461570496E1
2.122555250E0,4.457515717E0,2.311590958E1,-4.934896851E1,5.467664414E1
2.132596250E0,4.575618744E0,2.307164383E1,-4.931345367E1,5.463564541E1
2.142638250E0,4.456932068E0,2.319074631E1,-4.897534180E1,5.437149126E1
2.152679250E0,4.199474335E0,2.337738419E1,-4.865566254E1,5.414343148E1
2.162720250E0,4.434913635E0,2.341037369E1,-4.873191071E1,5.424493687E1
2.172761250E0,4.466957092E0,2.335837173E1,-4.874279022E1,5.423492265E1
2.182802250E0,4.308452606E0,2.342005920E1,-4.850714874E1,5.403707446E1
2.192843250E0,4.243179321E0,2.320681763E1,-4.863731384E1,5.405690754E1
2.202885250E0,3.943656921E0,2.328145218E1,-4.852047729E1,5.396123759E1
2.212926250E0,4.057090759E0,2.349448776E1,-4.860260010E1,5.413560452E1
2.222967250E0,4.169837952E0,2.340608597E1,-4.874008942E1,5.422940831E1
2.233008250E0,4.058116913E0,2.356771851E1,-4.890261841E1,5.443686027E1
2.243049250E0,3.958171844E0,2.337544632E1,-4.882543945E1,5.427708681E1
2.253091250E0,4.103782654E0,2.344245911E1,-4.868156433E1,5.418749511E1
2.263132250E0,3.959728241E0,2.371513367E1,-4.873492432E1,5.434316756E1
2.273173250E0,4.083320618E0,2.333616638E1,-4.902186584E1,5.444624413E1
2.283214250E0,4.092472076E0,2.351932907E1,-4.902041626E1,5.452438333E1
2.293255250E0,4.088397980E0,2.354702759E1,-4.907022095E1,5.458080331E1
2.303296250E0,4.088275909E0,2.346244049E1,-4.859107971E1,5.411370567E1
2.313338250E0,4.215759277E0,2.327025223E1,-4.848275757E1,5.394307227E1
2.323379250E0,4.183666229E0,2.340184402E1,-4.840644836E1,5.392896819E1
2.333420250E0,4.166400909E0,2.343939590E1,-4.879900360E1,5.429647253E1
2.343461250E0,4.199974060E0,2.334824753E1,-4.872908783E1,5.419690439E1
2.353502250E0,4.250083923E0,2.341560364E1,-4.871649170E1,5.421854176E1
2.363544250E0,4.060131073E0,2.351417923E1,-4.841376495E1,5.397493794E1
2.373585250E0,4.016807556E0,2.353479004E1,-4.874354553E1,5.427664614E1
2.383626250E0,4.249565125E0,2.353221512E1,-4.859094238E1,5.415628896E1
2.393667250E0,4.199966431E0,2.357284546E1,-4.887747955E1,5.442726126E1
2.403708250E0,4.163997650E0,2.340786362E1,-4.877099609E1,5.425750654E1
2.413749250E0,4.007728577E0,2.343106461E1,-4.858561707E1,5.408917510E1
2.423791250E0,4.061180115E0,2.344766617E1,-4.876060486E1,5.425756002E1
2.433832250E0,3.821105957E0,2.348294067E1,-4.898453522E1,5.445671716E1
2.443873250E0,3.829948425E0,2.353504562E1,-4.890899658E1,5.441191803E1
2.453914250E0,4.038024902E0,2.354436111E1,-4.877661133E1,5.431206494E1
2.463955250E0,4.292499542E0,2.338898468E1,-4.847103119E1,5.398991592E1
2.473997250E0,4.265445709E0,2.346770859E1,-4.870593262E1,5.423278755E1
2.484038250E0,4.145256042E0,2.332403946E1,-4.887836456E1,5.431655813E1
2.494079250E0,4.256832123E0,2.334019470E1,-4.881103516E1,5.427156218E1
2.504120250E0,3.912914276E0,2.349785614E1,-4.868457794E1,5.420007630E1
2.514161250E0,4.047206879E0,2.352288437E1,-4.873569489E1,5.426669263E1
2.524203250E0,4.159557343E0,2.350716019E1,-4.884815216E1,5.436938906E1
2.534244250E0,4.184394836E0,2.350823975E1,-4.868068695E1,5.422135906E1
2.544285250E0,4.274009705E0,2.338126755E1,-4.881990814E1,5.429856593E1
2.554326250E0,4.401100159E0,2.333621216E1,-4.885675049E1,5.432246818E1
2.564367250E0,4.244361877E0,2.342789841E1,-4.887380981E1,5.436478932E1
2.574408250E0,4.306022644E0,2.362275314E1,-4.884215546E1,5.442547608E1
2.584450250E0,4.166206360E0,2.351316071E1,-4.903742218E1,5.454259598E1
2.594491250E0,4.155349731E0,2.341524124E1,-4.904814148E1,5.450927110E1
2.604532250E0,4.036792755E0,2.353837204E1,-4.899593353E1,5.450644142E1
2.614573250E0,4.159648895E0,2.367476273E1,-4.924637604E1,5.479965896E1
2.624614250E0,4.304115295E0,2.364632797E1,-4.926686859E1,5.481695519E1
2.634656250E0,4.395519257E0,2.363981628E1,-4.937245178E1,5.491630449E1
2.644697250E0,4.242382050E0,2.352633667E1,-4.904377747E1,5.455986098E1
2.654738250E0,4.442749023E0,2.341176605E1,-4.908018494E1,5.455926468E1
2.664779250E0,4.224670410E0,2.353091049E1,-4.871795654E1,5.426777016E1
2.674820250E0,3.897769928E0,2.320734406E1,-4.877868652E1,5.415841290E1
2.684861250E0,4.120376587E0,2.360985947E1,-4.890335083E1,5.446045069E1
2.694903250E0,4.472843170E0,2.355426788E1,-4.889330292E1,5.445516442E1
2.704944250E0,4.322681427E0,2.348645401E1,-4.894811249E1,5.446298571E1
2.714985250E0,4.226486206E0,2.342989731E1,-4.856324768E1,5.408523180E1
2.725026250E0,4.130588531E0,2.345357895E1,-4.898245239E1,5.446478467E1
2.735067250E0,4.087905884E0,2.334002686E1,-4.894419861E1,5.437832662E1
2.745109250E0,4.114017487E0,2.332613373E1,-4.930027008E1,5.469506636E1
2.755150250E0,4.104396820E0,2.347540665E1,-4.895046997E1,5.444345049E1
2.765191958E0,4.049285889E0,2.345211029E1,-4.874636841E1,5.424579824E1
2.775232958E0,4.033218384E0,2.344758987E1,-4.901073456E1,5.448034897E1
2.785273958E0,4.096694946E0,2.326630783E1,-4.908404541E1,5.447336508E1
2.795315958E0,4.044624329E0,2.335480881E1,-4.889611053E1,5.433816068E1
2.805356958E0,4.045394897E0,2.338306427E1,-4.884500122E1,5.430439263E1
2.815397958E0,4.143333435E0,2.331455231E1,-4.888573456E1,5.431897094E1
2.825438958E0,4.091464996E0,2.349315643E1,-4.880577850E1,5.432009297E1
2.835479958E0,4.043277740E0,2.354623795E1,-4.866491699E1,5.421298334E1
2.845520958E0,4.003528595E0,2.338560867E1,-4.881435394E1,5.427481999E1
2.855562958E0,4.132171631E0,2.342068100E1,-4.880875397E1,5.429454489E1
2.865603958E0,4.117881775E0,2.347226334E1,-4.880020905E1,5.430805188E1
2.875644958E0,4.055427551E0,2.366682816E1,-4.874298859E1,5.433639833E1
2.885685958E0,3.851139069E0,2.343360901E1,-4.862792206E1,5.411691147E1
2.895726958E0,3.961639404E0,2.318275070E1,-4.906641388E1,5.441183224E1
2.905768958E0,4.046424866E0,2.360597992E1,-4.895330048E1,5.449808684E1
2.915809958E0,4.133628845E0,2.375872421E1,-4.896120453E1,5.457804882E1
2.925850958E0,4.175582886E0,2.377764893E1,-4.884727478E1,5.448732269E1
2.935891958E0,4.073387146E0,2.381945038E1,-4.844038391E1,5.413344154E1
2.945932958E0,4.133865356E0,2.356621933E1,-4.833128357E1,5.392929174E1
2.955974958E0,4.545192719E0,2.367044067E1,-4.855233002E1,5.420587873E1
2.966015958E0,4.324134827E0,2.362829590E1,-4.888686371E1,5.446944054E1
2.976056958E0,4.217960358E0,2.374948883E1,-4.849140167E1,5.415944466E1
2.986097958E0,4.011329651E0,2.360096359E1,-4.872190094E1,5.428554024E1
2.996138958E0,4.058307648E0,2.374971008E1,-4.860774994E1,5.425156167E1
3.006179958E0,4.326828003E0,2.383313370E1,-4.877306366E1,5.445687690E1
3.016221958E0,4.037258148E0,2.373911285E1,-4.889012909E1,5.449852892E1
3.026262958E0,3.929824829E0,2.348202896E1,-4.888710785E1,5.437645190E1
3.036303958E0,4.082420349E0,2.352567291E1,-4.871537781E1,5.425229467E1
3.046344958E0,3.892074585E0,2.338173294E1,-4.885829163E1,5.430457016E1
3.056385958E0,4.170703888E0,2.356248093E1,-4.869848633E1,5.425981800E1
3.066427958E0,4.142024994E0,2.344901276E1,-4.878060913E1,5.428222911E1
3.076468958E0,4.116714478E0,2.335200119E1,-4.846262360E1,5.395265687E1
3.086509958E0,4.282257080E0,2.339014816E1,-4.866694641E1,5.416556498E1
3.096550958E0,4.326599121E0,2.350643158E1,-4.874813080E1,5.429228345E1
3.106591958E0,4.080520630E0,2.369224167E1,-4.861365509E1,5.423338847E1
3.116633958E0,4.317832947E0,2.353781891E1,-4.876094818E1,5.431668867E1
3.126674958E0,4.285186768E0,2.349789810E1,-4.876213074E1,5.429787689E1
3.136715958E0,4.273418427E0,2.348536682E1,-4.839869690E1,5.396534463E1
3.146756958E0,4.039154053E0,2.347256470E1,-4.887903595E1,5.437312033E1
3.156797958E0,3.952285767E0,2.338809967E1,-4.887548828E1,5.432713064E1
3.166838958E0,4.129581451E0,2.360144043E1,-4.895484924E1,5.450374939E1
3.176880958E0,4.003105164E0,2.351210785E1,-4.895616150E1,5.445686197E1
3.186921958E0,4.214084625E0,2.348780441E1,-4.910631561E1,5.459730486E1
3.196962958E0,3.990543365E0,2.340514374E1,-4.925506592E1,5.467894209E1
3.207003958E0,4.092617035E0,2.364877319E1,-4.889662170E1,5.446919865E1
3.217044958E0,4.148750305E0,2.359760284E1,-4.886855316E1,5.442604594E1
3.227086958E0,4.022315979E0,2.340800095E1,-4.875080109E1,5.422872063E1
